movie_id,year,platform,rating_count,meta_country,runtime_min,runtime_text,mean_rating,title,rating_distribution_1_to_5,genres,reviews_count,rating_distribution,url,meta
26838236,2021,Douban,17916,,,,6.2,超能敢死队 Ghostbusters: Afterlife,,Comedy / Fantasy / Adventure,,,https://movie.douban.com/subject/26838236/,加拿大 / 美国 / 喜剧 / 奇幻 / 冒险 / 捉鬼敢死队：魅来世界(港) / 魔鬼克星 未来世(台) / 124分钟
35307545,2020,Douban,699,,,,7.9,德云社郭德纲跨年相声专场北展站 2020,,Comedy / Drama,,,https://movie.douban.com/subject/35307545/,中国大陆 / 喜剧 / 戏曲 / 275分钟
26363254,2017,Douban,948084,,,,7.1,战狼2,,Action / War,,,https://movie.douban.com/subject/26363254/,中国大陆 / 动作 / 战争 / 新战狼 / 新战死沙场 / 123分钟
6011805,2012,Douban,374740,,,,8.2,一九四二,,Drama / History / War / Disaster,,,https://movie.douban.com/subject/6011805/,中国大陆 / 剧情 / 历史 / 战争 / 灾难 / 温故1942 / 1942 / 146分钟
10512661,2017,Douban,568200,,,,8.3,银翼杀手2049 Blade Runner 2049,,Drama / Action / Sci-Fi / Mystery / Thriller,,,https://movie.douban.com/subject/10512661/,美国 / 英国 / 加拿大 / 西班牙 / 剧情 / 动作 / 科幻 / 悬疑 / 惊悚 / 银翼杀手2 / Blade Runner 2 / 163分钟
26430107,2015,Douban,309488,,,,8.7,二十二,,Documentary,,,https://movie.douban.com/subject/26430107/,中国大陆 / 纪录片 / Twenty Two / 22 / 99分钟
36448279,2025,Douban,293470,,,,8.7,罗小黑战记2,,Animation / Fantasy / Adventure,,,https://movie.douban.com/subject/36448279/,中国大陆 / 动画 / 奇幻 / 冒险 / The Legend of Hei 2 / 119分钟
26588308,2018,Douban,471810,,,,7.3,死侍2：我爱我家 Deadpool 2,,Comedy / Action / Sci-Fi / Adventure,,,https://movie.douban.com/subject/26588308/,美国 / 喜剧 / 动作 / 科幻 / 冒险 / 死侍2 / 死侍往事 / 119分钟
35068653,2021,Douban,408313,,,,5.7,误杀2,,Drama / Crime,,,https://movie.douban.com/subject/35068653/,中国大陆 / 剧情 / 犯罪 / Fireflies in the Sun / 迫在眉睫 中国版 / 118分钟
20505982,2016,Douban,281356,,,,7.2,寒战2 寒戰II,,Drama / Action / Crime,,,https://movie.douban.com/subject/20505982/,中国大陆 / 中国香港 / 剧情 / 动作 / 犯罪 / 寒战II / Cold War Ⅱ / 110分钟
